序號	機構單位名稱	原始資料集	地址	電話	資料類別	wgs84aX	wgs84aY
83	泰春藥局	藥局	嘉義市西區學圃里民生北路６６號	05-2224118	醫藥服務		
84	勝華藥局	藥局	嘉義市西區垂楊路６２３號	05-2856642	醫藥服務		
85	振二藥局	藥局	嘉義市西區光路里民生南路５２３號	05-2350748	醫藥服務		
86	啄木鳥藥局	藥局	嘉義市西區國華里文化路211號	52226497	醫藥服務		
87	逢春藥局	藥局	嘉義市西區北興街４１７號	05-2326990	醫藥服務		
88	全德藥局	藥局	嘉義市西區福民里興業西路２８９號	05-2854263	醫藥服務		
89	友愛藥局	藥局	嘉義市西區友愛路一七０號	05-2330599	醫藥服務		
90	信康藥局	藥局	嘉義市西區翠岱里仁愛路226號	05-2161680	醫藥服務		
91	杏安藥局	藥局	嘉義市西區書院里民族路786號	05-2271727	醫藥服務		
92	苰安藥局	藥局	嘉義市西區竹圍里友愛路236號	05-2771000	醫藥服務		
93	利安藥局	藥局	嘉義市西區社內里中山路344號1樓	05-2225756	醫藥服務		
94	大向藥局	藥局	嘉義市西區美源里新民路636號	05-2354605	醫藥服務		
95	八八八藥局	藥局	嘉義市西區竹圍里中興路241號	05-2810598	醫藥服務		
96	大正藥局	藥局	嘉義市西區書院里民族路702號		醫藥服務		
97	興嘉藥局	藥局	嘉義市西區興業西路370號	05-2841812	醫藥服務		
98	齊悅藥局	藥局	嘉義市西區西平里玉山路145號1樓	05-2326990	醫藥服務		
99	仁愛弘安藥局	藥局	嘉義市西區仁愛路393號1樓		醫藥服務		
100	安麗藥師藥局	藥局	嘉義市西區車店里廣州街206號	(05)2352395	醫藥服務		
101	佑安藥局	藥局	嘉義市西區民權路423號1樓	05-2278298	醫藥服務		
102	美德興業藥局	藥局	嘉義市西區興業西路122-6號1樓		醫藥服務		
103	海鴻藥師藥局	藥局	嘉義市西區民生南路552號	05-2837758	醫藥服務		
104	明興藥局	藥局	嘉義市西區自強里仁愛路199號		醫藥服務		
105	國同藥局	藥局	嘉義市西區保福里八德路101號		醫藥服務		
106	三信和興藥局	藥局	嘉義市西區民安里中正路６９１號	05-2224629	醫藥服務		
107	保富藥局	藥局	嘉義市西區青年街１４號	05-2365401	醫藥服務		
108	一安藥局	藥局	嘉義市西區福民里興業西路３１１號	05-2859275	醫藥服務		
109	藍藥局	藥局	嘉義市西區北興街三九八之一號	05-2338909	醫藥服務		
110	勝成藥局	藥局	嘉義市西區南京路１２６巷１９號	05-2360247	醫藥服務		
111	萬樂福新式藥局	藥局	嘉義市西區玉山路190號	52838168	醫藥服務		
112	益生堂藥局	藥局	嘉義市西區杭州三街３０號	05-2853706	醫藥服務		
113	中興中西藥局	藥局	嘉義市西區垂楊路５０１號	05-2353096	醫藥服務		
114	健安藥局	藥局	嘉義市西區民族路６２６號	52281219	醫藥服務		
115	正統藥局	藥局	嘉義市西區車店里興業西路407號	05-2351212	醫藥服務		
116	萬泰藥師藥局	藥局	嘉義市西區民族路四九四號	05-2168605	醫藥服務		
117	廣泰藥局	藥局	嘉義市西區仁愛路４４２號	52250342	醫藥服務		
118	博愛藥局	藥局	嘉義市西區博愛路二段２７７之一號	2330292	醫藥服務		
119	秉原藥局	藥局	嘉義市西區民族路７００號	05-2285812	醫藥服務		
120	永明藥局	藥局	嘉義市西區中山路６０８號一樓	05-2286339	醫藥服務		
121	國豐藥局	藥局	嘉義市西區北興街245之2號1樓	05-2318473	醫藥服務		
122	國同藥局	藥局	嘉義市西區八德路101號	05-2327336	醫藥服務		
123	廣元藥局	藥局	嘉義市西區中正路697號	05-2252733	醫藥服務		
124	徠的安藥師藥局	藥局	嘉義市西區世賢路一段6鄰549號	05-2330858	醫藥服務		
125	龍德安藥局	藥局	嘉義市東區新開里垂楊路１０７號	05--2289037	醫藥服務		
126	慶獅藥局	藥局	嘉義市東區華南里公明路133號	05-2249366、0920640987	醫藥服務		
